rat,replicate1,replicate2,replicate3,replicate4,replicate5,replicate6,replicate7,replicate8,replicate9,replicate10,replicate11,replicate12,replicate13,replicate14,replicate15,replicate16,replicate17,replicate18,replicate19,replicate20,replicate21,replicate22,replicate23,replicate24,replicate25,replicate26,replicate27,replicate28,replicate29,replicate30,replicate31,replicate32,replicate33
p01,27,35,41,46,47,48,48,45,52,59,56,63,62,62,56,57,57,56,59,53,50,46,51,70,62,57,62,63,62,60,60,66,70
p03,27,32,32,35,30,34,41,41,45,42,42,44,47,49,51,53,53,46,42,46,46,45,48,52,46,48,48,55,52,,,,
p04,19,15,18,23,21,26,23,18,19,23,28,23,27,27,26,27,30,29,28,31,29,34,40,40,42,41,29,32,35,47,,,
p05,27,28,31,31,36,35,33,40,38,42,41,43,39,41,43,13,41,44,43,40,43,45,47,43,48,44,50,47,51,49,,,
p07,20,21,23,21,22,23,25,24,29,26,32,34,32,32,33,29,33,33,33,36,34,34,32,34,31,34,31,37,35,,,,
p08,29,29,26,28,31,29,26,23,27,33,31,33,34,34,35,39,40,40,45,31,41,37,31,37,37,36,34,39,38,34,35,35,29
p09,12,18,19,18,18,19,19,19,18,19,19,17,19,21,22,29,37,38,38,41,35,43,43,40,43,38,36,37,40,39,38,38,
p11,14,13,16,21,20,18,17,15,15,16,16,17,19,18,18,21,18,18,13,17,18,16,16,19,15,17,15,16,18,18,17,19,
p12,25,23,22,24,25,26,24,24,25,27,24,27,26,24,22,13,26,24,26,25,30,30,36,34,43,34,37,34,39,41,42,35,42
p13,24,25,28,24,25,28,20,29,28,30,28,31,31,30,34,28,31,31,29,32,36,38,39,42,32,43,44,44,48,36,,,
p14,26,25,21,19,28,27,26,30,34,34,35,25,32,36,38,35,33,51,37,41,40,38,45,41,43,40,44,,,,,,
p15,28,32,37,40,43,42,37,42,40,44,40,42,45,44,50,43,43,35,45,52,52,44,62,58,61,64,70,75,,,,,
p16,35,34,32,40,40,34,36,30,41,37,41,40,41,41,45,48,43,44,41,45,49,46,39,53,45,49,42,48,48,,,,
b01,17,21,26,21,24,27,30,27,31,32,33,34,33,34,29,39,39,38,43,35,41,43,45,44,40,44,40,39,44,39,30,50,32
b02,28,27,23,27,24,23,20,25,26,22,26,26,22,25,21,24,25,30,25,26,28,22,28,27,29,28,30,32,31,21,32,32,
b03,65,72,72,72,62,67,68,51,63,40,43,42,50,48,49,59,60,61,63,52,55,77,70,73,73,71,77,66,67,70,,,
b05,20,24,25,25,25,23,18,14,22,22,19,19,20,18,14,18,25,25,30,28,28,28,31,31,29,32,34,30,30,35,38,,
b07,22,23,21,23,22,21,18,24,27,26,29,27,26,27,31,35,34,33,25,32,33,38,32,30,35,33,29,36,35,,,,
